Fish-stick épinard purée,Beurre,Condiment,FALSE,0,0,0,0
Fish-stick épinard purée,Crème fraiche,L,FALSE,0,0,0,0
Fish-stick épinard purée,Pomme de terre,Kg,FALSE,0,0,0,0
Fish-stick épinard purée,Lait,L,FALSE,0,0,0,0
Fish-stick épinard purée,Œufs,Pièce,FALSE,0,0,0,0
Fish-stick épinard purée,Noix de muscade,Condiment,FALSE,0,0,0,0
Fish-stick gratin de courgette,Fish Stick,Pièce,FALSE,0,0,0,0
Fish-stick gratin de courgette,Crème fraiche,L,FALSE,0,0,0,0
Fish-stick gratin de courgette,Fromage (râpé),Kg,FALSE,0,0,0,0
Fish-stick gratin de courgette,Ail,Condiment,FALSE,0,0,0,0
Fish-stick gratin de courgette,Beurre,Condiment,FALSE,0,0,0,0
Fish-stick gratin de courgette,Pomme de terre,Kg,FALSE,0,0,0,0
Fish-stick gratin de courgette,Lait,L,FALSE,0,0,0,0
Fish-stick gratin de courgette,Œufs,Pièce,FALSE,0,0,0,0
Fish-stick gratin de courgette,Noix de muscade,Condiment,FALSE,0,0,0,0
Frites (commandées),Frites commandées,Pièce,FALSE,0,0,0,0
Frites (maison),Pomme de terre,Kg,FALSE,0,0,0,0
Frites (maison),Huile friture,L,FALSE,0,0,0,0
Frites (maison),Mayonnaise,Kg,FALSE,0,0,0,0
Frites (maison),Ketchup,Kg,FALSE,0,0,0,0
Hachis parmentier,Viande hachée,Kg,FALSE,0,0,0,0
Hachis parmentier,Oignons,Kg,FALSE,0,0,0,0
Hachis parmentier,Ail,Condiment,FALSE,0,0,0,0
Hachis parmentier,Thym,Condiment,FALSE,0,0,0,0
Hachis parmentier,Huile d'olive,Condiment,FALSE,0,0,0,0
Hachis parmentier,Pomme de terre,Kg,FALSE,0,0,0,0
Hachis parmentier,Lait,L,FALSE,0,0,0,0
Hachis parmentier,Œufs,Pièce,FALSE,0,0,0,0
Hachis parmentier,Noix de muscade,Condiment,FALSE,0,0,0,0
Hachis parmentier,Lentilles vertes,Kg,TRUE,"0,5","0,4","0,6","0,5"
Hachis parmentier,Fromage (râpé),Kg,FALSE,,,,
Hachis parmentier,Chou blanc,Kg,FALSE,0,0,0,0
Hachis parmentier (végé),Lentilles vertes,Kg,FALSE,"0,5","0,4","0,6","0,5"
Hachis parmentier (végé),Oignons,Kg,FALSE,0,0,0,0
Hachis parmentier (végé),Ail,Condiment,FALSE,0,0,0,0
Hachis parmentier (végé),Thym,Condiment,FALSE,0,0,0,0
Hachis parmentier (végé),Huile d'olive,Condiment,FALSE,0,0,0,0
Hachis parmentier (végé),Pomme de terre,Kg,FALSE,0,0,0,0
Hachis parmentier (végé),Lait,L,FALSE,0,0,0,0
Hachis parmentier (végé),Œufs,Pièce,FALSE,0,0,0,0
Hachis parmentier (végé),Noix de muscade,Condiment,FALSE,0,0,0,0
Hachis parmentier (végé),Fromage (râpé),Kg,FALSE,,,,
Hachis parmentier (végé),Chou blanc,Kg,FALSE,0,0,0,0
Kefta hummus,Viande hachée,Kg,FALSE,"0,1","0,1","0,15","0,12"
Kefta hummus,Ail,Condiment,FALSE,0,0,0,0
Kefta hummus,Oignons,Kg,FALSE,"0,025","0,025","0,025","0,025"
Kefta hummus,Pois chiches,Kg,FALSE,"0,04","0,04","0,06","0,06"
Kefta hummus,Citron,Pièce,FALSE,"0,25","0,25","0,25","0,25"
